Wavelength (nm),SLS201L Power (a.u.)
547.64,0.403588304
547.84,0.404231431
548.05,0.404764035
548.25,0.405304777
548.46,0.405871623
548.66,0.406403211
548.87,0.406959547
549.07,0.40752063
549.28,0.408070864
549.48,0.40866178
549.68,0.409178112
549.89,0.409639861
550.09,0.410174839
550.3,0.410678966
550.5,0.411202756
550.71,0.411722139
550.91,0.412205246
551.12,0.412710051
551.32,0.413190107
551.53,0.413656603
551.73,0.414154288
551.93,0.414719439
552.14,0.415274758
552.34,0.415923309
552.55,0.416433877
552.75,0.417039372
552.96,0.417657411
553.16,0.418255108
553.36,0.418866027
553.57,0.419394224
553.77,0.419933609
553.98,0.420500116
554.18,0.421181213
554.39,0.421763654
554.59,0.422342366
554.79,0.422926163
555,0.423433342
555.2,0.423923229
555.41,0.424449054
555.61,0.424884698
555.82,0.425390859
556.02,0.425865491
556.22,0.426381484
556.43,0.426898832
556.63,0.427485681
556.84,0.428069139
557.04,0.428656665
557.24,0.429213002
557.45,0.429781882
557.65,0.430377545
557.86,0.430885401
558.06,0.431465808
558.26,0.432104866
558.47,0.432786641
558.67,0.433386372
558.88,0.434016276
559.08,0.434613635
559.28,0.435222858
559.49,0.435795807
559.69,0.436388758
559.9,0.436959672
560.1,0.43762314
560.3,0.438207954
560.51,0.438769376
560.71,0.439367751
560.92,0.439913239
561.12,0.440510936
561.32,0.441183896
561.53,0.441780237
561.73,0.442368102
561.93,0.442988514
562.14,0.44364554
562.34,0.444239847
562.55,0.444926368
562.75,0.445545763
562.95,0.44618855
563.16,0.446797774
563.36,0.447485312
563.56,0.448101995
563.77,0.448879713
563.97,0.44954318
564.17,0.450298862
564.38,0.451051493
564.58,0.451845145
564.79,0.452518783
564.99,0.453204965
565.19,0.453890469
565.4,0.454594281
565.6,0.455238424
565.8,0.455950372
566.01,0.456594515
566.21,0.457293919
566.41,0.45790077
566.62,0.458504569
566.82,0.459133457
567.02,0.459714203
567.23,0.460308171
567.43,0.460886882
567.64,0.46150187
